user_id,registration_date
1,2013-11-15
250001,2013-11-16
500001,2013-11-17
750001,2013-11-18
1000001,2013-11-19
1250001,2013-11-20
1500001,2013-11-21
1750001,2013-11-23
2000001,2013-11-24
2250001,2013-11-25
2500001,2013-11-26
2750001,2013-11-27
3000001,2013-11-28
3250001,2013-11-30
3500001,2013-12-01
3750001,2013-12-02
4000001,2013-12-03
4250001,2013-12-04
4500001,2013-12-05
4750001,2013-12-06
5000001,2013-12-08
5250001,2013-12-09
5500001,2013-12-10
5750001,2013-12-11
6000001,2013-12-12
6250001,2013-12-13
6500001,2013-12-14
6750001,2013-12-15
7000001,2013-12-17
7250001,2013-12-18
7500001,2013-12-19
7750001,2013-12-20
8000001,2013-12-21
8250001,2013-12-22
8500001,2013-12-23
8750001,2013-12-25
9000001,2013-12-26
9250001,2013-12-27
9500001,2013-12-28
9750001,2013-12-29
10000001,2013-12-30
10250001,2013-12-31
10500001,2014-01-02
10750001,2014-01-03
11000001,2014-01-04
11250001,2014-01-05
11500001,2014-01-06
11750001,2014-01-07
12000001,2014-01-08
12250001,2014-01-09
12500001,2014-01-11
12750001,2014-01-12
13000001,2014-01-13
13250001,2014-01-14
13500001,2014-01-15
13750001,2014-01-16
14000001,2014-01-17
14250001,2014-01-18
14500001,2014-01-20
14750001,2014-01-21
15000001,2014-01-22
15250001,2014-01-23
15500001,2014-01-24
15750001,2014-01-25
16000001,2014-01-26
16250001,2014-01-27
16500001,2014-01-29
16750001,2014-01-30
17000001,2014-01-31
17250001,2014-02-01
17500001,2014-02-02
17750001,2014-02-03
18000001,2014-02-04
18250001,2014-02-05
18500001,2014-02-07
18750001,2014-02-08
19000001,2014-02-09
19250001,2014-02-10
19500001,2014-02-11
19750001,2014-02-12
20000001,2014-02-13
20250001,2014-02-14
20500001,2014-02-15
20750001,2014-02-17
21000001,2014-02-18
21250001,2014-02-19
21500001,2014-02-20
21750001,2014-02-21
22000001,2014-02-22
22250001,2014-02-23
22500001,2014-02-24
22750001,2014-02-25
23000001,2014-02-27
23250001,2014-02-28
23500001,2014-03-01
23750001,2014-03-02
24000001,2014-03-03
24250001,2014-03-04
24500001,2014-03-05
24750001,2014-03-06
25000001,2014-03-07
25250001,2014-03-09
25500001,2014-03-10
25750001,2014-03-11
26000001,2014-03-12
26250001,2014-03-13
26500001,2014-03-14
26750001,2014-03-15
27000001,2014-03-16
27250001,2014-03-17
27500001,2014-03-18
27750001,2014-03-20
28000001,2014-03-21
28250001,2014-03-22
28500001,2014-03-23
28750001,2014-03-24
29000001,2014-03-25
29250001,2014-03-26
29500001,2014-03-27
29750001,2014-03-28
30000001,2014-03-29
30250001,2014-03-31
30500001,2014-04-01
30750001,2014-04-02
31000001,2014-04-03
31250001,2014-04-04
31500001,2014-04-05
31750001,2014-04-06
32000001,2014-04-07
32250001,2014-04-08
32500001,2014-04-09
32750001,2014-04-11
33000001,2014-04-12
33250001,2014-04-13
33500001,2014-04-14
33750001,2014-04-15
34000001,2014-04-16
34250001,2014-04-17
34500001,2014-04-18
34750001,2014-04-19
35000001,2014-04-20
35250001,2014-04-21
35500001,2014-04-23
35750001,2014-04-24
36000001,2014-04-25
36250001,2014-04-26
36500001,2014-04-27
36750001,2014-04-28
37000001,2014-04-29
37250001,2014-04-30
37500001,2014-05-01
37750001,2014-05-02
38000001,2014-05-03
38250001,2014-05-04
38500001,2014-05-06
38750001,2014-05-07
39000001,2014-05-08
39250001,2014-05-09
39500001,2014-05-10
39750001,2014-05-11
40000001,2014-05-12
40250001,2014-05-13
40500001,2014-05-14
40750001,2014-05-15
41000001,2014-05-16
41250001,2014-05-17
41500001,2014-05-19
41750001,2014-05-20
42000001,2014-05-21
42250001,2014-05-22
42500001,2014-05-23
42750001,2014-05-24
43000001,2014-05-25
43250001,2014-05-26
43500001,2014-05-27
43750001,2014-05-28
44000001,2014-05-29
44250001,2014-05-30
44500001,2014-05-31
44750001,2014-06-02
45000001,2014-06-03
45250001,2014-06-04
45500001,2014-06-05
45750001,2014-06-06
46000001,2014-06-07
46250001,2014-06-08
46500001,2014-06-09
46750001,2014-06-10
47000001,2014-06-11
47250001,2014-06-12
47500001,2014-06-13
47750001,2014-06-14
48000001,2014-06-15
48250001,2014-06-17
48500001,2014-06-18
48750001,2014-06-19
49000001,2014-06-20
49250001,2014-06-21
49500001,2014-06-22
49750001,2014-06-23
50000001,2014-06-24
50250001,2014-06-25
50500001,2014-06-26
50750001,2014-06-27
51000001,2014-06-28
51250001,2014-06-29
51500001,2014-06-30
51750001,2014-07-01
52000001,2014-07-02
52250001,2014-07-04
52500001,2014-07-05
52750001,2014-07-06
53000001,2014-07-07
53250001,2014-07-08
53500001,2014-07-09
53750001,2014-07-10
54000001,2014-07-11
54250001,2014-07-12
54500001,2014-07-13
54750001,2014-07-14
55000001,2014-07-15
55250001,2014-07-16
55500001,2014-07-17
55750001,2014-07-18
56000001,2014-07-19
56250001,2014-07-20
56500001,2014-07-21
56750001,2014-07-23
57000001,2014-07-24
57250001,2014-07-25
57500001,2014-07-26
57750001,2014-07-27
58000001,2014-07-28
58250001,2014-07-29
58500001,2014-07-30
58750001,2014-07-31
59000001,2014-08-01
59250001,2014-08-02
59500001,2014-08-03
59750001,2014-08-04
60000001,2014-08-05
60250001,2014-08-06
60500001,2014-08-07
60750001,2014-08-08
61000001,2014-08-09
61250001,2014-08-10
61500001,2014-08-11
61750001,2014-08-13
62000001,2014-08-14
62250001,2014-08-15
62500001,2014-08-16
62750001,2014-08-17
63000001,2014-08-18
63250001,2014-08-19
63500001,2014-08-20
63750001,2014-08-21
64000001,2014-08-22
64250001,2014-08-23
64500001,2014-08-24
64750001,2014-08-25
65000001,2014-08-26
65250001,2014-08-27
65500001,2014-08-28
65750001,2014-08-29
66000001,2014-08-30
66250001,2014-08-31
66500001,2014-09-01
66750001,2014-09-02
67000001,2014-09-03
67250001,2014-09-04
67500001,2014-09-05
